article,german_word,english_meaning,example_sentence,category,difficulty,gender_code
der,Apfel,apple,Ich esse jeden Tag einen Apfel.,Food,Beginner,0
die,Zeitung,newspaper,Er liest morgens die Zeitung.,Media,Beginner,1
das,Haus,house,Das Haus ist sehr groß und alt.,Buildings,Beginner,2
der,Hund,dog,Mein Hund spielt gerne im Garten.,Animals,Beginner,0
die,Blume,flower,Die Blume duftet sehr gut.,Nature,Beginner,1
das,Buch,book,Ich lese ein spannendes Buch.,Objects,Beginner,2
der,Stuhl,chair,Der Stuhl ist aus Holz gemacht.,Furniture,Beginner,0
die,Stadt,city,Die Stadt ist nachts sehr hell.,Places,Beginner,1
das,Auto,car,Das Auto steht in der Garage.,Transport,Beginner,2
der,Tisch,table,Das Essen steht auf dem Tisch.,Furniture,Beginner,0
die,Schule,school,Die Kinder gehen zur Schule.,Education,Beginner,1
das,Kind,child,Das Kind spielt mit seinem Spielzeug.,People,Beginner,2
der,Vater,father,Mein Vater arbeitet in einer Bank.,Family,Beginner,0
die,Mutter,mother,Die Mutter kocht das Abendessen.,Family,Beginner,1
das,Wasser,water,Ich trinke ein Glas Wasser.,Drinks,Beginner,2
der,Baum,tree,Der Baum verliert im Herbst seine Blätter.,Nature,Beginner,0
die,Sonne,sun,Die Sonne scheint heute sehr kräftig.,Nature,Beginner,1
das,Fenster,window,Bitte mach das Fenster zu.,Buildings,Beginner,2
der,Schlüssel,key,Ich kann meinen Schlüssel nicht finden.,Objects,Beginner,0
die,Tür,door,Die Tür ist abgeschlossen.,Buildings,Beginner,1
das,Brot,bread,Möchtest du ein Stück Brot?,Food,Beginner,2
der,Löffel,spoon,Ich esse die Suppe mit einem Löffel.,Kitchen,Beginner,0
die,Gabel,fork,Die Gabel liegt links vom Teller.,Kitchen,Beginner,1
das,Messer,knife,Das Messer ist sehr scharf.,Kitchen,Beginner,2
der,Kaffee,coffee,Ich brauche morgens einen Kaffee.,Drinks,Beginner,0
die,Milch,milk,Trinkst du deinen Kaffee mit Milch?,Drinks,Beginner,1
das,Bier,beer,Das Bier ist in Deutschland sehr beliebt.,Drinks,Beginner,2
der,Berg,mountain,Der Berg ist mit Schnee bedeckt.,Nature,Beginner,0
die,Nacht,night,In der Nacht ist es sehr still.,Time,Beginner,1
das,Licht,light,Mach bitte das Licht an.,Objects,Beginner,2
der,Weg,way/path,Der Weg zum Bahnhof ist kurz.,Places,Beginner,0
die,Hand,hand,Er reicht ihr die Hand.,Body,Beginner,1
das,Gesicht,face,Sie hat ein freundliches Gesicht.,Body,Beginner,2
der,Kopf,head,Mein Kopf tut heute weh.,Body,Beginner,0
die,Frage,question,Darf ich dir eine Frage stellen?,Communication,Beginner,1
das,Beispiel,example,Das ist ein gutes Beispiel.,Education,Beginner,2
der,Freund,friend,Mein bester Freund wohnt in Berlin.,People,Beginner,0
die,Freundin,friend (female),Meine Freundin kommt heute zu Besuch.,People,Beginner,1
das,Mädchen,girl,Das Mädchen spielt im Park.,People,Beginner,2
der,Junge,boy,Der Junge läuft schnell nach Hause.,People,Beginner,0
die,Arbeit,work,Die Arbeit macht mir viel Spaß.,Professional,Beginner,1
das,Geld,money,Ich habe kein Geld dabei.,Finance,Beginner,2
der,Tag,day,Ich wünsche dir einen schönen Tag.,Time,Beginner,0
